UsageID,ZoneID,Date,TotalUsageGB,PeakUsageGB
68,2,2023-01-23,189.33,324.56
69,3,2023-01-23,225.26,377.31
70,1,2023-01-24,174.8,268.24
71,2,2023-01-24,220.53,425.32
72,3,2023-01-24,246.13,409.51
73,1,2023-01-25,231.53,322.11
74,2,2023-01-25,209.66,416.01
75,3,2023-01-25,166.63,326.99
76,1,2023-01-26,226.6,451.58
77,2,2023-01-26,231.86,347.03
78,3,2023-01-26,178.01,288.12
79,1,2023-01-27,232.83,433.64
80,2,2023-01-27,175.93,318.79
81,3,2023-01-27,223.68,363.39
82,1,2023-01-28,208.27,400.26
83,2,2023-01-28,236.18,321.33
84,3,2023-01-28,192.12,374.66
85,1,2023-01-29,242.23,479.76
86,2,2023-01-29,212.2,311.06
87,3,2023-01-29,204.25,372.57
88,1,2023-01-30,205.73,272.15
89,2,2023-01-30,241.27,335.39
90,3,2023-01-30,191.96,330.31
91,1,2023-01-31,190.87,355.34
92,2,2023-01-31,220.91,334.54
93,3,2023-01-31,248.95,467.09
94,1,2023-02-01,192.88,291.56
95,2,2023-02-01,219.3,373.51
96,3,2023-02-01,166.1,226.19
97,1,2023-02-02,268.68,367.77
98,2,2023-02-02,239.06,447.41
99,3,2023-02-02,285.87,475.45
100,1,2023-02-03,210.81,345.2
101,2,2023-02-03,181.62,326.59
102,3,2023-02-03,167.46,291.72
103,1,2023-02-04,247.62,415.05
104,2,2023-02-04,223.22,337.28
105,3,2023-02-04,251.42,482.1
106,1,2023-02-05,223.98,368.54
107,2,2023-02-05,239.46,382.08
108,3,2023-02-05,197.98,391.06
109,1,2023-02-06,217.94,298.31
110,2,2023-02-06,208.89,322.0
111,3,2023-02-06,222.84,432.83
112,1,2023-02-07,229.33,445.11
113,2,2023-02-07,192.68,256.99
114,3,2023-02-07,177.12,268.5
115,1,2023-02-08,240.1,386.87
116,2,2023-02-08,240.2,340.64
117,3,2023-02-08,219.61,342.79
118,1,2023-02-09,199.11,345.15
119,2,2023-02-09,189.67,366.94
120,3,2023-02-09,211.72,408.68
121,1,2023-02-10,187.83,257.53
122,2,2023-02-10,197.79,374.07
123,3,2023-02-10,155.31,238.97
124,1,2023-02-11,246.39,414.54
125,2,2023-02-11,239.84,446.61
126,3,2023-02-11,203.26,393.94
127,1,2023-02-12,198.39,322.71
128,2,2023-02-12,214.24,281.69
129,3,2023-02-12,179.49,324.84
130,1,2023-02-13,198.96,279.92
131,2,2023-02-13,206.57,370.02
132,3,2023-02-13,207.69,300.86
133,1,2023-02-14,223.35,351.25
134,2,2023-02-14,245.12,485.43
135,3,2023-02-14,228.53,321.59
136,1,2023-02-15,188.57,274.57
137,2,2023-02-15,247.37,331.31
138,3,2023-02-15,207.19,354.06
139,1,2023-02-16,218.54,405.43
140,2,2023-02-16,209.13,407.68
141,3,2023-02-16,251.09,362.96
142,1,2023-02-17,206.62,370.09
143,2,2023-02-17,212.54,279.6
144,3,2023-02-17,220.8,340.39
145,1,2023-02-18,181.88,287.6
146,2,2023-02-18,217.04,350.67
147,3,2023-02-18,215.57,362.88
148,1,2023-02-19,240.01,373.39
149,2,2023-02-19,243.17,343.96
150,3,2023-02-19,149.26,243.01
151,1,2023-02-20,269.48,462.52
152,2,2023-02-20,212.35,324.68
153,3,2023-02-20,198.35,353.29
154,1,2023-02-21,210.74,308.24
155,2,2023-02-21,225.73,318.7
156,3,2023-02-21,233.43,356.07
157,1,2023-02-22,235.43,394.79
158,2,2023-02-22,240.74,362.62
159,3,2023-02-22,217.61,344.3
160,1,2023-02-23,210.35,350.75
161,2,2023-02-23,261.11,506.26
162,3,2023-02-23,280.66,503.43
163,1,2023-02-24,187.47,245.01
164,2,2023-02-24,232.14,373.18
165,3,2023-02-24,204.03,355.43
166,1,2023-02-25,182.42,314.42
167,2,2023-02-25,185.72,273.11
168,3,2023-02-25,222.84,398.38
169,1,2023-02-26,193.83,343.56
170,2,2023-02-26,192.04,347.41
171,3,2023-02-26,230.95,435.17
172,1,2023-02-27,198.28,340.99
173,2,2023-02-27,253.51,345.2
174,3,2023-02-27,186.57,260.41
175,1,2023-02-28,147.62,265.07
176,2,2023-02-28,175.7,239.53
177,3,2023-02-28,225.76,432.16
178,1,2023-03-01,213.03,383.51
179,2,2023-03-01,196.93,361.28
180,3,2023-03-01,202.48,384.83
181,1,2023-03-02,175.56,243.31
182,2,2023-03-02,238.02,400.16
183,3,2023-03-02,208.5,352.43
184,1,2023-03-03,208.23,284.86
185,2,2023-03-03,223.45,314.74
186,3,2023-03-03,252.02,499.23
187,1,2023-03-04,165.94,242.08
188,2,2023-03-04,218.78,304.28
189,3,2023-03-04,276.31,471.46
190,1,2023-03-05,246.05,464.82
191,2,2023-03-05,218.72,346.61
192,3,2023-03-05,180.45,318.79
193,1,2023-03-06,227.75,330.69
194,2,2023-03-06,203.4,325.89
195,3,2023-03-06,223.55,365.3
196,1,2023-03-07,160.08,253.1
197,2,2023-03-07,228.01,385.1
198,3,2023-03-07,180.19,289.76
199,1,2023-03-08,276.14,525.3
200,2,2023-03-08,235.07,343.35
201,3,2023-03-08,234.54,427.14
202,1,2023-03-09,231.76,434.02
203,2,2023-03-09,204.46,365.37
204,3,2023-03-09,216.72,412.52
205,1,2023-03-10,241.79,333.26
206,2,2023-03-10,189.09,331.35
207,3,2023-03-10,217.17,415.64
208,1,2023-03-11,194.71,304.76
209,2,2023-03-11,232.0,438.91
210,3,2023-03-11,185.17,279.93
211,1,2023-03-12,270.87,426.14
212,2,2023-03-12,240.38,323.85
213,3,2023-03-12,225.24,308.92
214,1,2023-03-13,225.01,385.14
215,2,2023-03-13,201.74,381.79
216,3,2023-03-13,222.56,344.52
217,1,2023-03-14,161.76,270.11
218,2,2023-03-14,253.14,445.68
219,3,2023-03-14,192.56,265.33
220,1,2023-03-15,262.88,404.91
221,2,2023-03-15,224.42,362.07
222,3,2023-03-15,250.09,442.42
223,1,2023-03-16,218.87,395.11
224,2,2023-03-16,218.22,297.44
225,3,2023-03-16,231.74,387.33
226,1,2023-03-17,224.55,307.68
227,2,2023-03-17,181.17,359.08
228,3,2023-03-17,167.44,273.52
229,1,2023-03-18,215.87,390.99
230,2,2023-03-18,205.83,345.62
231,3,2023-03-18,221.89,323.45
232,1,2023-03-19,280.76,382.36
233,2,2023-03-19,222.65,307.72
234,3,2023-03-19,142.21,240.1
235,1,2023-03-20,236.65,406.58
236,2,2023-03-20,197.68,265.66
237,3,2023-03-20,194.58,362.37
238,1,2023-03-21,193.09,317.08
239,2,2023-03-21,209.05,331.22
240,3,2023-03-21,281.63,528.46
241,1,2023-03-22,225.88,444.96
242,2,2023-03-22,225.28,345.04
243,3,2023-03-22,185.27,356.62
244,1,2023-03-23,252.89,422.37
245,2,2023-03-23,199.88,273.23
246,3,2023-03-23,273.68,428.85
247,1,2023-03-24,152.69,280.79
248,2,2023-03-24,219.87,399.07
249,3,2023-03-24,216.1,350.46
250,1,2023-03-25,184.17,336.5
251,2,2023-03-25,154.98,252.36
252,3,2023-03-25,210.51,343.72
253,1,2023-03-26,200.26,318.37
254,2,2023-03-26,182.1,243.78
255,3,2023-03-26,178.0,273.7
256,1,2023-03-27,231.59,330.18
257,2,2023-03-27,225.67,324.71
258,3,2023-03-27,264.0,379.64
259,1,2023-03-28,238.24,475.05
260,2,2023-03-28,213.61,353.95
261,3,2023-03-28,194.33,319.2
262,1,2023-03-29,220.35,388.64
263,2,2023-03-29,277.14,541.67
264,3,2023-03-29,169.16,236.57
265,1,2023-03-30,207.31,332.9
266,2,2023-03-30,214.76,310.3
267,3,2023-03-30,193.27,353.99
268,1,2023-03-31,192.95,319.46
269,2,2023-03-31,233.43,323.24
270,3,2023-03-31,239.96,416.15
271,1,2023-04-01,214.74,298.53
272,2,2023-04-01,220.76,316.64
273,3,2023-04-01,236.11,386.79
274,1,2023-04-02,249.02,465.06
275,2,2023-04-02,260.37,378.43
276,3,2023-04-02,216.68,422.62
277,1,2023-04-03,223.71,390.09
278,2,2023-04-03,232.3,393.91
279,3,2023-04-03,181.9,261.01
280,1,2023-04-04,212.03,372.47
281,2,2023-04-04,174.11,237.56
282,3,2023-04-04,214.51,422.89
283,1,2023-04-05,190.9,348.34
284,2,2023-04-05,237.73,337.2
285,3,2023-04-05,264.21,363.5
286,1,2023-04-06,278.66,491.75
287,2,2023-04-06,261.11,505.44
288,3,2023-04-06,227.8,408.92
289,1,2023-04-07,188.13,285.65
290,2,2023-04-07,183.73,349.92
291,3,2023-04-07,237.57,417.76
292,1,2023-04-08,219.36,377.74
293,2,2023-04-08,225.9,423.79
294,3,2023-04-08,246.26,406.13
295,1,2023-04-09,175.13,335.1
296,2,2023-04-09,238.38,356.29
297,3,2023-04-09,216.9,348.06
298,1,2023-04-10,232.56,382.42
299,2,2023-04-10,256.8,450.68
300,3,2023-04-10,162.87,231.36
301,1,2023-04-11,234.57,427.1
302,2,2023-04-11,249.9,489.31
303,3,2023-04-11,233.64,353.38
304,1,2023-04-12,256.06,439.87
305,2,2023-04-12,224.79,360.2
306,3,2023-04-12,202.55,361.71
307,1,2023-04-13,244.13,453.58
308,2,2023-04-13,175.96,241.51
309,3,2023-04-13,173.34,234.06
310,1,2023-04-14,210.55,390.16
311,2,2023-04-14,234.28,319.52
312,3,2023-04-14,250.39,339.03
313,1,2023-04-15,247.04,351.54
314,2,2023-04-15,223.95,390.11
315,3,2023-04-15,169.02,269.53
316,1,2023-04-16,219.88,355.52
317,2,2023-04-16,211.18,373.74
318,3,2023-04-16,210.51,292.42
319,1,2023-04-17,235.71,325.2
320,2,2023-04-17,232.68,456.26
321,3,2023-04-17,212.7,347.14
322,1,2023-04-18,207.05,292.12
323,2,2023-04-18,241.86,464.62
324,3,2023-04-18,215.67,303.7
325,1,2023-04-19,223.33,442.08
326,2,2023-04-19,227.01,323.25
327,3,2023-04-19,216.01,430.33
328,1,2023-04-20,199.54,323.03
329,2,2023-04-20,236.57,455.86
330,3,2023-04-20,283.74,541.52
331,1,2023-04-21,223.18,377.83
332,2,2023-04-21,233.35,313.72
333,3,2023-04-21,189.41,313.03
334,1,2023-04-22,178.22,247.03
335,2,2023-04-22,169.05,334.53
336,3,2023-04-22,227.75,329.0
337,1,2023-04-23,221.73,431.91
338,2,2023-04-23,180.84,249.11
339,3,2023-04-23,209.92,306.74
340,1,2023-04-24,210.32,384.0
341,2,2023-04-24,258.91,396.06
342,3,2023-04-24,210.6,342.95
343,1,2023-04-25,122.89,194.02
344,2,2023-04-25,206.85,319.6
345,3,2023-04-25,211.08,293.85
346,1,2023-04-26,253.4,363.81
347,2,2023-04-26,202.45,337.34
348,3,2023-04-26,227.58,393.08
349,1,2023-04-27,184.28,325.5
350,2,2023-04-27,227.63,298.87
351,3,2023-04-27,195.75,386.53
352,1,2023-04-28,246.51,385.75
353,2,2023-04-28,248.33,384.6
354,3,2023-04-28,279.62,452.24
355,1,2023-04-29,169.37,261.01
356,2,2023-04-29,208.06,407.19
357,3,2023-04-29,219.23,423.86
358,1,2023-04-30,181.21,333.03
359,2,2023-04-30,160.58,278.91
360,3,2023-04-30,279.48,539.4
361,1,2023-05-01,290.17,423.86
362,2,2023-05-01,209.85,353.79
363,3,2023-05-01,277.0,405.26
364,1,2023-05-02,244.97,352.89
365,2,2023-05-02,254.04,476.35
366,3,2023-05-02,271.52,404.37
367,1,2023-05-03,197.4,290.91
368,2,2023-05-03,242.98,401.86
369,3,2023-05-03,209.45,301.01
370,1,2023-05-04,250.01,433.35
371,2,2023-05-04,193.33,331.26
372,3,2023-05-04,174.1,237.4
373,1,2023-05-05,247.44,345.57
374,2,2023-05-05,173.35,291.38
375,3,2023-05-05,225.11,372.12
376,1,2023-05-06,279.71,393.81
377,2,2023-05-06,136.24,254.64
378,3,2023-05-06,241.35,377.52
379,1,2023-05-07,219.04,370.04
380,2,2023-05-07,240.74,426.23
381,3,2023-05-07,245.62,340.92
382,1,2023-05-08,261.08,464.97
383,2,2023-05-08,148.76,220.81
384,3,2023-05-08,206.35,392.32
385,1,2023-05-09,219.4,285.77
386,2,2023-05-09,218.29,339.85
387,3,2023-05-09,208.55,330.09
388,1,2023-05-10,244.88,481.21
389,2,2023-05-10,246.2,328.66
390,3,2023-05-10,226.5,401.3
391,1,2023-05-11,212.49,424.49
392,2,2023-05-11,210.79,282.76
393,3,2023-05-11,220.99,371.25
394,1,2023-05-12,240.54,318.35
395,2,2023-05-12,258.97,442.78
396,3,2023-05-12,257.74,418.64
397,1,2023-05-13,244.07,415.22
398,2,2023-05-13,210.31,324.0
399,3,2023-05-13,237.58,341.36
400,1,2023-05-14,197.24,328.72
401,2,2023-05-14,183.98,339.6
402,3,2023-05-14,216.09,350.24
403,1,2023-05-15,225.1,325.17
404,2,2023-05-15,211.31,421.61
405,3,2023-05-15,203.0,335.61
406,1,2023-05-16,233.05,367.45
407,2,2023-05-16,276.83,447.81
408,3,2023-05-16,255.05,445.66
409,1,2023-05-17,238.8,389.44
410,2,2023-05-17,220.06,415.92
411,3,2023-05-17,257.09,345.45
412,1,2023-05-18,195.76,294.13
413,2,2023-05-18,261.65,399.04
414,3,2023-05-18,195.23,262.85
415,1,2023-05-19,168.71,310.41
416,2,2023-05-19,215.91,358.5
417,3,2023-05-19,215.36,312.77
418,1,2023-05-20,220.84,313.37
419,2,2023-05-20,215.84,286.95
420,3,2023-05-20,222.01,430.78
421,1,2023-05-21,234.7,423.57
422,2,2023-05-21,243.12,329.39
423,3,2023-05-21,211.27,348.64
424,1,2023-05-22,203.01,384.41
425,2,2023-05-22,208.09,320.11
426,3,2023-05-22,232.9,433.79
427,1,2023-05-23,236.08,386.47
428,2,2023-05-23,241.61,482.55
429,3,2023-05-23,279.5,368.66
430,1,2023-05-24,214.8,343.65
431,2,2023-05-24,236.55,359.51
432,3,2023-05-24,177.29,311.6
433,1,2023-05-25,237.89,400.13
434,2,2023-05-25,207.5,378.9
435,3,2023-05-25,153.79,225.47
436,1,2023-05-26,218.2,418.93
437,2,2023-05-26,194.4,324.45
438,3,2023-05-26,145.91,242.77
439,1,2023-05-27,193.76,364.97
440,2,2023-05-27,232.45,358.21
441,3,2023-05-27,216.3,335.9
442,1,2023-05-28,215.8,319.51
443,2,2023-05-28,251.37,329.08
444,3,2023-05-28,242.92,330.38
445,1,2023-05-29,221.03,432.79
446,2,2023-05-29,266.09,504.14
447,3,2023-05-29,187.03,358.68
448,1,2023-05-30,190.7,305.96
449,2,2023-05-30,273.95,503.17
450,3,2023-05-30,153.3,238.18
451,1,2023-05-31,184.57,348.23
452,2,2023-05-31,159.56,254.02
453,3,2023-05-31,231.01,397.35
454,1,2023-06-01,267.21,466.79
455,2,2023-06-01,273.45,389.55
456,3,2023-06-01,182.57,277.79
457,1,2023-06-02,218.54,343.59
458,2,2023-06-02,259.66,501.09
459,3,2023-06-02,267.32,524.32
460,1,2023-06-03,189.94,379.64
461,2,2023-06-03,298.8,479.32
462,3,2023-06-03,252.98,461.68
463,1,2023-06-04,206.1,276.03
464,2,2023-06-04,273.89,476.11
465,3,2023-06-04,232.84,435.42
466,1,2023-06-05,220.44,375.52
467,2,2023-06-05,231.32,358.85
468,3,2023-06-05,167.19,230.31
469,1,2023-06-06,225.85,347.72
470,2,2023-06-06,170.01,223.75
471,3,2023-06-06,216.06,353.26
472,1,2023-06-07,227.45,305.56
473,2,2023-06-07,268.63,517.53
474,3,2023-06-07,213.54,403.97
475,1,2023-06-08,177.55,271.19
476,2,2023-06-08,294.23,400.42
477,3,2023-06-08,230.97,313.78
478,1,2023-06-09,188.92,338.86
479,2,2023-06-09,237.07,413.57
480,3,2023-06-09,246.63,422.73
481,1,2023-06-10,223.61,389.57
482,2,2023-06-10,213.07,308.48
483,3,2023-06-10,230.31,356.51
484,1,2023-06-11,224.93,328.94
485,2,2023-06-11,248.25,435.28
486,3,2023-06-11,257.73,509.88
487,1,2023-06-12,268.26,397.16
488,2,2023-06-12,255.73,469.02
489,3,2023-06-12,296.29,414.2
490,1,2023-06-13,276.54,501.8
491,2,2023-06-13,202.6,288.84
492,3,2023-06-13,243.04,462.82
493,1,2023-06-14,198.47,287.98
494,2,2023-06-14,240.77,391.97
495,3,2023-06-14,230.33,328.62
496,1,2023-06-15,258.14,488.79
497,2,2023-06-15,281.21,392.04
498,3,2023-06-15,208.3,382.39
499,1,2023-06-16,232.37,396.06
500,2,2023-06-16,217.29,406.61
501,3,2023-06-16,237.39,462.82
502,1,2023-06-17,218.73,346.75
503,2,2023-06-17,251.87,457.87
504,3,2023-06-17,237.53,412.94
505,1,2023-06-18,247.25,439.18
506,2,2023-06-18,174.61,290.68
507,3,2023-06-18,259.18,515.59
508,1,2023-06-19,230.1,414.56
509,2,2023-06-19,252.29,473.26
510,3,2023-06-19,221.16,402.22
511,1,2023-06-20,274.75,431.58
512,2,2023-06-20,181.91,258.53
513,3,2023-06-20,251.68,380.38
514,1,2023-06-21,260.06,431.02
515,2,2023-06-21,268.15,353.9
516,3,2023-06-21,242.03,462.39
517,1,2023-06-22,243.25,395.44
518,2,2023-06-22,159.74,295.87
519,3,2023-06-22,266.46,527.5
520,1,2023-06-23,254.03,468.69
521,2,2023-06-23,210.93,326.23
522,3,2023-06-23,242.32,415.83
523,1,2023-06-24,259.58,385.19
524,2,2023-06-24,190.77,290.43
525,3,2023-06-24,298.43,480.18
526,1,2023-06-25,235.92,362.93
527,2,2023-06-25,209.15,311.89
528,3,2023-06-25,233.1,366.01
529,1,2023-06-26,271.68,496.46
530,2,2023-06-26,227.28,370.61
531,3,2023-06-26,287.0,473.92
532,1,2023-06-27,227.8,317.24
533,2,2023-06-27,299.19,511.66
534,3,2023-06-27,203.91,283.33
535,1,2023-06-28,227.54,453.15
536,2,2023-06-28,238.73,447.05
537,3,2023-06-28,236.43,345.67
538,1,2023-06-29,226.01,315.59
539,2,2023-06-29,197.36,263.18
540,3,2023-06-29,223.03,340.67
541,1,2023-06-30,243.41,388.59
542,2,2023-06-30,223.55,445.64
543,3,2023-06-30,232.63,419.63
544,1,2023-07-01,203.42,308.5
545,2,2023-07-01,245.04,418.39
546,3,2023-07-01,204.0,313.12
547,1,2023-07-02,254.82,501.1
548,2,2023-07-02,221.43,396.34
549,3,2023-07-02,208.01,285.72
550,1,2023-07-03,235.06,381.39
551,2,2023-07-03,241.1,430.34
552,3,2023-07-03,244.02,361.5
553,1,2023-07-04,217.77,399.69
554,2,2023-07-04,214.79,396.39
555,3,2023-07-04,210.04,300.56
556,1,2023-07-05,248.1,467.69
557,2,2023-07-05,252.43,470.82
558,3,2023-07-05,178.15,266.57
559,1,2023-07-06,220.66,367.64
560,2,2023-07-06,203.0,326.43
561,3,2023-07-06,214.21,390.86
562,1,2023-07-07,188.77,319.03
563,2,2023-07-07,237.31,435.63
564,3,2023-07-07,175.78,264.55
565,1,2023-07-08,241.42,394.94
566,2,2023-07-08,195.19,334.28
567,3,2023-07-08,227.93,306.24
568,1,2023-07-09,225.21,424.76
569,2,2023-07-09,261.4,512.83
570,3,2023-07-09,228.08,305.86
571,1,2023-07-10,178.99,313.91
572,2,2023-07-10,179.22,241.92
573,3,2023-07-10,219.5,341.87
574,1,2023-07-11,253.18,444.64
575,2,2023-07-11,241.13,359.1
576,3,2023-07-11,219.91,312.29
577,1,2023-07-12,256.17,455.22
578,2,2023-07-12,237.52,383.71
579,3,2023-07-12,224.22,326.63
580,1,2023-07-13,245.4,401.97
581,2,2023-07-13,225.85,399.58
582,3,2023-07-13,217.65,353.47
583,1,2023-07-14,216.36,319.22
584,2,2023-07-14,237.64,436.46
585,3,2023-07-14,204.82,285.21
586,1,2023-07-15,243.37,474.67
587,2,2023-07-15,235.88,404.31
588,3,2023-07-15,250.14,396.45
589,1,2023-07-16,236.82,461.64
590,2,2023-07-16,265.77,386.79
591,3,2023-07-16,307.66,473.77
592,1,2023-07-17,230.84,321.68
593,2,2023-07-17,229.68,379.33
594,3,2023-07-17,240.1,451.81
595,1,2023-07-18,273.18,399.21
596,2,2023-07-18,270.07,450.47
597,3,2023-07-18,261.81,365.85
598,1,2023-07-19,255.89,503.02
599,2,2023-07-19,228.28,328.2
600,3,2023-07-19,203.97,279.27
601,1,2023-07-20,233.05,356.85
602,2,2023-07-20,249.83,382.15
603,3,2023-07-20,328.34,590.15
604,1,2023-07-21,200.75,318.27
605,2,2023-07-21,205.9,317.86
606,3,2023-07-21,204.01,347.57
607,1,2023-07-22,219.51,375.1
608,2,2023-07-22,254.91,465.31
609,3,2023-07-22,249.04,487.56
610,1,2023-07-23,239.63,318.99
611,2,2023-07-23,274.18,486.29
612,3,2023-07-23,274.06,536.34
613,1,2023-07-24,205.88,336.76
614,2,2023-07-24,211.49,319.91
615,3,2023-07-24,201.28,356.23
616,1,2023-07-25,210.85,382.47
617,2,2023-07-25,216.05,349.95
618,3,2023-07-25,223.05,385.79
619,1,2023-07-26,256.02,500.91
620,2,2023-07-26,281.39,369.82
621,3,2023-07-26,241.97,473.12
622,1,2023-07-27,247.29,364.64
623,2,2023-07-27,184.07,341.37
624,3,2023-07-27,222.8,373.37
625,1,2023-07-28,218.52,385.88
626,2,2023-07-28,239.44,427.2
627,3,2023-07-28,247.26,333.51
628,1,2023-07-29,216.82,296.07
629,2,2023-07-29,251.07,404.07
630,3,2023-07-29,239.57,338.5
631,1,2023-07-30,251.58,498.46
632,2,2023-07-30,280.38,391.91
633,3,2023-07-30,212.05,411.03
634,1,2023-07-31,260.78,482.95
635,2,2023-07-31,217.15,386.28
636,3,2023-07-31,233.29,378.7
637,1,2023-08-01,259.46,473.2
638,2,2023-08-01,264.1,375.03
639,3,2023-08-01,204.19,377.63
640,1,2023-08-02,163.97,259.71
641,2,2023-08-02,227.7,453.18
642,3,2023-08-02,259.99,354.06
643,1,2023-08-03,318.81,513.21
644,2,2023-08-03,237.39,399.73
645,3,2023-08-03,222.43,436.72
646,1,2023-08-04,254.85,401.32
647,2,2023-08-04,210.4,361.81
648,3,2023-08-04,301.8,545.49
649,1,2023-08-05,209.87,321.78
650,2,2023-08-05,240.56,448.25
651,3,2023-08-05,285.78,549.19
652,1,2023-08-06,252.35,405.54
653,2,2023-08-06,215.85,321.5
654,3,2023-08-06,230.86,368.25
655,1,2023-08-07,177.59,336.11
656,2,2023-08-07,213.22,281.38
657,3,2023-08-07,218.12,417.84
658,1,2023-08-08,259.75,389.22
659,2,2023-08-08,191.27,303.8
660,3,2023-08-08,250.02,366.71
661,1,2023-08-09,268.78,480.12
662,2,2023-08-09,229.99,352.87
663,3,2023-08-09,266.89,416.93
664,1,2023-08-10,283.63,450.64
665,2,2023-08-10,285.32,418.45
666,3,2023-08-10,201.14,401.53
667,1,2023-08-11,239.76,350.17
668,2,2023-08-11,236.47,366.09
669,3,2023-08-11,229.06,332.11
670,1,2023-08-12,267.81,416.93
671,2,2023-08-12,242.66,468.31
672,3,2023-08-12,179.45,320.75
673,1,2023-08-13,226.21,298.76
674,2,2023-08-13,264.28,410.51
675,3,2023-08-13,209.02,312.2
676,1,2023-08-14,268.62,366.68
677,2,2023-08-14,260.21,430.76
678,3,2023-08-14,214.67,289.16
679,1,2023-08-15,191.89,283.14
680,2,2023-08-15,251.23,413.67
681,3,2023-08-15,175.25,327.09
682,1,2023-08-16,223.49,353.11
683,2,2023-08-16,303.11,545.71
684,3,2023-08-16,214.58,334.79
685,1,2023-08-17,251.28,481.28
686,2,2023-08-17,346.46,551.62
687,3,2023-08-17,310.71,548.61
688,1,2023-08-18,203.11,264.18
689,2,2023-08-18,211.12,418.68
690,3,2023-08-18,252.61,391.68
691,1,2023-08-19,217.1,414.77
692,2,2023-08-19,239.04,352.17
693,3,2023-08-19,268.14,350.01
694,1,2023-08-20,194.91,388.56
695,2,2023-08-20,278.02,537.96
696,3,2023-08-20,240.84,313.17
697,1,2023-08-21,268.45,479.12
698,2,2023-08-21,234.76,426.67
699,3,2023-08-21,252.38,346.33
700,1,2023-08-22,241.34,460.75
701,2,2023-08-22,255.56,451.9
702,3,2023-08-22,297.93,550.83
703,1,2023-08-23,223.46,328.82
704,2,2023-08-23,221.37,341.49
705,3,2023-08-23,265.36,392.18
706,1,2023-08-24,244.07,411.84
707,2,2023-08-24,217.3,331.72
708,3,2023-08-24,236.21,360.22
709,1,2023-08-25,211.15,347.41
710,2,2023-08-25,255.25,403.21
711,3,2023-08-25,285.6,450.3
712,1,2023-08-26,271.86,512.83
713,2,2023-08-26,298.43,562.79
714,3,2023-08-26,222.9,412.73
715,1,2023-08-27,207.09,306.82
716,2,2023-08-27,181.01,327.82
717,3,2023-08-27,237.23,465.42
718,1,2023-08-28,251.97,413.17
719,2,2023-08-28,253.98,370.09
720,3,2023-08-28,256.19,435.4
721,1,2023-08-29,240.81,401.13
722,2,2023-08-29,254.39,442.35
723,3,2023-08-29,234.73,311.4
724,1,2023-08-30,260.14,371.03
725,2,2023-08-30,219.71,291.4
726,3,2023-08-30,282.49,432.65
727,1,2023-08-31,196.83,389.45
728,2,2023-08-31,225.98,450.5
729,3,2023-08-31,237.53,377.22
730,1,2023-09-01,296.81,391.78
731,2,2023-09-01,265.87,366.74
732,3,2023-09-01,220.07,288.12
733,1,2023-09-02,230.6,363.62
