IncidentID,DeviceID,IncidentType,StartTime,EndTime,Severity
120,408,Downtime,2023-04-02,2023-04-02 03:44:00,High
121,256,Security Breach,2023-09-28,2023-09-28 09:36:00,High
122,157,Downtime,2023-07-17,2023-07-17 02:43:00,High
123,454,Downtime,2023-03-23,2023-03-23 08:58:00,High
124,334,Security Breach,2023-08-07,2023-08-07 02:11:00,High
125,54,Security Breach,2023-10-21,2023-10-21 05:26:00,Medium
126,66,Downtime,2023-04-29,2023-04-29 01:07:00,Low
127,17,Security Breach,2023-06-17,2023-06-17 00:59:00,Low
128,98,Security Breach,2023-02-25,2023-02-25 01:56:00,Low
129,50,Security Breach,2023-01-14,2023-01-14 05:16:00,Low
130,73,Downtime,2023-09-01,2023-09-01 03:31:00,Medium
131,220,Downtime,2023-07-19,2023-07-19 03:01:00,Low
132,327,Downtime,2023-07-17,2023-07-17 07:50:00,High
133,354,Security Breach,2023-11-11,2023-11-11 07:08:00,Medium
134,451,Security Breach,2023-07-27,2023-07-27 08:01:00,Medium
135,494,Security Breach,2023-10-30,2023-10-30 06:50:00,Low
136,174,Security Breach,2023-04-05,2023-04-05 04:12:00,High
137,69,Security Breach,2023-09-15,2023-09-15 06:37:00,High
138,426,Downtime,2023-04-30,2023-04-30 05:32:00,Medium
139,324,Security Breach,2023-07-24,2023-07-24 00:32:00,Medium
140,114,Security Breach,2023-06-21,2023-06-21 05:47:00,High
141,470,Security Breach,2023-01-15,2023-01-15 05:07:00,High
142,64,Security Breach,2023-08-02,2023-08-02 02:32:00,Low
143,414,Downtime,2023-12-07,2023-12-07 00:14:00,Medium
144,269,Downtime,2023-10-02,2023-10-02 08:59:00,Medium
145,67,Downtime,2023-10-24,2023-10-24 02:56:00,Medium
146,417,Security Breach,2023-04-29,2023-04-29 06:21:00,High
147,330,Security Breach,2023-07-23,2023-07-23 01:19:00,High
148,486,Downtime,2023-11-11,2023-11-11 07:30:00,Low
149,145,Downtime,2023-12-30,2023-12-30 02:40:00,Low
150,167,Security Breach,2023-07-04,2023-07-04 06:03:00,High
151,465,Downtime,2023-08-19,2023-08-19 08:58:00,High
152,346,Downtime,2023-12-17,2023-12-17 08:38:00,Medium
153,169,Downtime,2023-03-11,2023-03-11 03:06:00,Low
154,41,Downtime,2023-04-18,2023-04-18 06:22:00,High
155,348,Security Breach,2023-01-13,2023-01-13 09:36:00,High
156,408,Downtime,2023-04-13,2023-04-13 01:26:00,Medium
157,424,Downtime,2023-07-08,2023-07-08 00:38:00,High
158,178,Downtime,2023-11-27,2023-11-27 05:56:00,Medium
159,293,Downtime,2023-06-01,2023-06-01 09:54:00,Low
160,374,Security Breach,2023-12-12,2023-12-12 06:28:00,Low
161,242,Downtime,2023-07-22,2023-07-22 04:00:00,High
162,81,Security Breach,2023-05-01,2023-05-01 01:28:00,Low
163,244,Downtime,2023-06-04,2023-06-04 02:23:00,Medium
164,164,Downtime,2023-04-24,2023-04-24 05:49:00,Medium
165,71,Security Breach,2023-05-23,2023-05-23 09:02:00,Medium
166,471,Downtime,2023-03-27,2023-03-27 02:03:00,Low
167,486,Security Breach,2023-12-30,2023-12-30 09:56:00,Low
168,182,Security Breach,2023-01-23,2023-01-23 06:22:00,Medium
169,354,Security Breach,2023-08-18,2023-08-18 09:15:00,Medium
170,279,Security Breach,2023-12-03,2023-12-03 08:34:00,High
171,86,Downtime,2023-01-07,2023-01-07 03:30:00,High
172,268,Downtime,2023-03-08,2023-03-08 08:53:00,High
173,79,Security Breach,2023-07-13,2023-07-13 01:30:00,Medium
174,217,Downtime,2023-04-24,2023-04-24 06:32:00,High
175,482,Downtime,2023-04-15,2023-04-15 03:36:00,Low
176,314,Security Breach,2023-09-14,2023-09-14 03:27:00,Medium
177,452,Security Breach,2023-10-31,2023-10-31 00:26:00,Low
178,85,Downtime,2023-08-29,2023-08-29 09:52:00,Low
179,55,Downtime,2023-11-21,2023-11-21 07:16:00,Low
180,312,Downtime,2023-11-03,2023-11-03 09:31:00,High
181,467,Security Breach,2023-04-15,2023-04-15 04:18:00,High
182,188,Downtime,2023-05-30,2023-05-30 03:43:00,High
183,252,Downtime,2023-10-10,2023-10-10 03:40:00,Low
184,116,Security Breach,2023-04-13,2023-04-13 02:29:00,Low
185,222,Downtime,2023-01-18,2023-01-18 07:47:00,High
186,42,Security Breach,2023-04-04,2023-04-04 00:45:00,Medium
187,79,Security Breach,2023-01-29,2023-01-29 01:07:00,Medium
188,466,Security Breach,2023-12-19,2023-12-19 03:02:00,High
189,320,Security Breach,2023-02-06,2023-02-06 05:33:00,High
190,217,Downtime,2023-09-09,2023-09-09 03:53:00,Medium
191,272,Security Breach,2023-01-03,2023-01-03 07:45:00,Medium
192,231,Security Breach,2023-10-23,2023-10-23 05:17:00,Medium
193,430,Downtime,2023-08-14,2023-08-14 07:19:00,Low
194,103,Security Breach,2023-06-28,2023-06-28 03:46:00,High
195,224,Downtime,2023-12-03,2023-12-03 09:42:00,High
196,351,Downtime,2023-12-15,2023-12-15 03:29:00,High
197,355,Downtime,2023-05-26,2023-05-26 04:13:00,Medium
198,239,Downtime,2023-05-10,2023-05-10 04:34:00,Medium
199,60,Security Breach,2023-05-04,2023-05-04 05:50:00,Medium
200,389,Downtime,2023-04-26,2023-04-26 03:12:00,High
201,289,Downtime,2023-08-31,2023-08-31 08:08:00,Medium
202,227,Security Breach,2023-11-12,2023-11-12 09:47:00,Low
203,159,Downtime,2023-01-25,2023-01-25 03:19:00,High
204,143,Security Breach,2023-06-18,2023-06-18 01:56:00,High
205,314,Downtime,2023-08-26,2023-08-26 06:25:00,Low
206,166,Downtime,2023-12-29,2023-12-29 05:25:00,Low
207,194,Downtime,2023-02-15,2023-02-15 02:53:00,High
208,33,Security Breach,2023-10-29,2023-10-29 02:07:00,Low
209,299,Security Breach,2023-09-11,2023-09-11 01:16:00,High
210,256,Security Breach,2023-06-26,2023-06-26 05:30:00,Medium
211,389,Downtime,2023-02-15,2023-02-15 05:33:00,Low
212,142,Downtime,2023-12-09,2023-12-09 05:36:00,High
213,188,Security Breach,2023-04-22,2023-04-22 09:04:00,High
214,99,Downtime,2023-03-18,2023-03-18 07:32:00,Low
215,12,Downtime,2023-12-06,2023-12-06 07:05:00,Medium
216,266,Downtime,2023-09-17,2023-09-17 02:12:00,Low
217,164,Downtime,2023-10-16,2023-10-16 04:34:00,Low
218,151,Downtime,2023-12-26,2023-12-26 01:05:00,High
219,476,Security Breach,2023-12-23,2023-12-23 06:01:00,Low
220,473,Downtime,2023-04-15,2023-04-15 00:31:00,High
221,273,Security Breach,2023-08-27,2023-08-27 02:16:00,Medium
222,80,Downtime,2023-05-22,2023-05-22 00:29:00,Low
223,52,Downtime,2023-07-17,2023-07-17 05:21:00,High
224,40,Security Breach,2023-10-08,2023-10-08 07:48:00,Low
225,20,Security Breach,2023-05-19,2023-05-19 03:59:00,Medium
226,468,Downtime,2023-06-08,2023-06-08 08:28:00,High
227,423,Downtime,2023-12-29,2023-12-29 10:00:00,Low
228,222,Security Breach,2023-03-18,2023-03-18 02:04:00,High
229,452,Downtime,2023-10-01,2023-10-01 03:01:00,High
230,455,Security Breach,2023-07-09,2023-07-09 09:11:00,Medium
231,36,Downtime,2023-05-25,2023-05-25 05:00:00,High
232,373,Security Breach,2023-07-31,2023-07-31 09:49:00,Medium
233,229,Downtime,2023-07-15,2023-07-15 00:24:00,High
234,493,Security Breach,2023-04-30,2023-04-30 05:39:00,Low
235,454,Downtime,2023-02-24,2023-02-24 04:46:00,Low
236,36,Security Breach,2023-01-23,2023-01-23 00:39:00,Low
237,64,Downtime,2023-10-29,2023-10-29 05:59:00,Medium
238,35,Downtime,2023-04-28,2023-04-28 06:10:00,Low
239,369,Security Breach,2023-08-06,2023-08-06 05:57:00,Low
240,389,Security Breach,2023-06-01,2023-06-01 01:44:00,High
241,410,Downtime,2023-10-06,2023-10-06 06:43:00,Medium
242,255,Security Breach,2023-04-19,2023-04-19 00:53:00,Low
243,375,Security Breach,2023-01-12,2023-01-12 05:50:00,Low
244,148,Downtime,2023-03-17,2023-03-17 05:46:00,High
245,406,Downtime,2023-04-23,2023-04-23 04:53:00,Medium
246,37,Downtime,2023-07-14,2023-07-14 02:07:00,Medium
247,445,Downtime,2023-10-06,2023-10-06 00:16:00,Low
248,201,Security Breach,2023-02-21,2023-02-21 06:37:00,High
249,408,Security Breach,2023-10-27,2023-10-27 01:44:00,Low
250,259,Downtime,2023-08-06,2023-08-06 06:51:00,High
251,115,Downtime,2023-05-22,2023-05-22 07:17:00,High
252,417,Downtime,2023-06-17,2023-06-17 08:58:00,Low
253,66,Downtime,2023-05-12,2023-05-12 07:57:00,Low
254,436,Downtime,2023-07-17,2023-07-17 06:03:00,Medium
255,122,Downtime,2023-08-29,2023-08-29 07:12:00,Medium
256,191,Downtime,2023-04-15,2023-04-15 07:38:00,Medium
257,164,Security Breach,2023-12-20,2023-12-20 00:37:00,Low
258,294,Downtime,2023-01-06,2023-01-06 04:20:00,Medium
259,487,Downtime,2023-01-03,2023-01-03 03:11:00,Medium
260,52,Downtime,2023-06-22,2023-06-22 07:21:00,Low
261,324,Security Breach,2023-04-13,2023-04-13 07:13:00,High
262,273,Downtime,2023-01-14,2023-01-14 07:04:00,Low
263,156,Downtime,2023-02-18,2023-02-18 00:23:00,Medium
264,197,Downtime,2023-05-12,2023-05-12 01:54:00,Medium
265,291,Security Breach,2023-08-27,2023-08-27 02:39:00,Medium
266,47,Security Breach,2023-03-09,2023-03-09 05:43:00,Medium
267,259,Security Breach,2023-10-05,2023-10-05 03:11:00,High
268,112,Downtime,2023-06-11,2023-06-11 00:56:00,High
269,473,Security Breach,2023-10-19,2023-10-19 02:06:00,Low
270,301,Downtime,2023-05-08,2023-05-08 05:51:00,Low
271,22,Downtime,2023-10-09,2023-10-09 09:54:00,Low
272,311,Security Breach,2023-12-19,2023-12-19 08:55:00,High
273,187,Downtime,2023-03-06,2023-03-06 06:54:00,High
274,38,Security Breach,2023-03-29,2023-03-29 00:43:00,Low
275,47,Security Breach,2023-09-13,2023-09-13 09:09:00,High
276,392,Security Breach,2023-02-02,2023-02-02 06:35:00,High
277,352,Security Breach,2023-11-03,2023-11-03 08:48:00,Medium
278,336,Security Breach,2023-04-08,2023-04-08 02:22:00,High
279,321,Security Breach,2023-03-20,2023-03-20 05:30:00,High
280,495,Security Breach,2023-01-29,2023-01-29 08:33:00,Low
281,367,Security Breach,2023-05-31,2023-05-31 09:34:00,High
282,435,Downtime,2023-10-14,2023-10-14 09:18:00,High
283,152,Security Breach,2023-01-20,2023-01-20 08:34:00,Low
284,248,Security Breach,2023-10-15,2023-10-15 04:23:00,Medium
285,437,Security Breach,2023-07-03,2023-07-03 01:11:00,High
286,91,Security Breach,2023-08-14,2023-08-14 07:59:00,Medium
287,356,Downtime,2023-04-02,2023-04-02 05:32:00,High
288,191,Security Breach,2023-03-03,2023-03-03 03:40:00,Medium
289,33,Downtime,2023-03-04,2023-03-04 07:29:00,Low
290,223,Downtime,2023-03-06,2023-03-06 04:51:00,High
291,223,Downtime,2023-02-02,2023-02-02 07:34:00,Low
292,90,Downtime,2023-06-22,2023-06-22 02:20:00,Medium
293,381,Downtime,2023-11-15,2023-11-15 09:35:00,Low
294,446,Downtime,2023-07-11,2023-07-11 03:32:00,Medium
295,343,Downtime,2023-10-04,2023-10-04 05:45:00,High
296,456,Security Breach,2023-08-04,2023-08-04 08:40:00,High
297,319,Security Breach,2023-11-02,2023-11-02 04:41:00,Medium
298,30,Downtime,2023-06-02,2023-06-02 09:39:00,Medium
299,232,Downtime,2023-11-23,2023-11-23 06:21:00,High
300,310,Downtime,2023-02-06,2023-02-06 05:24:00,High
301,387,Downtime,2023-05-31,2023-05-31 08:18:00,Medium
302,492,Security Breach,2023-11-16,2023-11-16 09:38:00,Low
303,274,Security Breach,2023-12-17,2023-12-17 00:43:00,Low
304,373,Downtime,2023-10-26,2023-10-26 05:40:00,Low
305,174,Security Breach,2023-05-03,2023-05-03 01:16:00,Low
306,125,Security Breach,2023-12-10,2023-12-10 04:23:00,Medium
307,249,Security Breach,2023-10-31,2023-10-31 04:11:00,High
308,273,Security Breach,2023-05-12,2023-05-12 04:21:00,Medium
309,165,Downtime,2023-09-28,2023-09-28 02:07:00,High
310,151,Downtime,2023-11-04,2023-11-04 07:16:00,Low
311,277,Downtime,2023-09-25,2023-09-25 00:37:00,Medium
312,130,Security Breach,2023-09-04,2023-09-04 00:34:00,High
313,419,Downtime,2023-12-05,2023-12-05 09:17:00,High
314,112,Security Breach,2023-03-03,2023-03-03 00:58:00,Low
315,305,Security Breach,2023-11-19,2023-11-19 08:20:00,Medium
316,132,Security Breach,2023-05-23,2023-05-23 09:23:00,Low
317,157,Security Breach,2023-10-13,2023-10-13 04:08:00,High
318,496,Downtime,2023-10-10,2023-10-10 02:33:00,High
319,18,Downtime,2023-09-06,2023-09-06 07:14:00,High
320,87,Downtime,2023-06-07,2023-06-07 04:39:00,Low
321,438,Security Breach,2023-08-24,2023-08-24 03:30:00,Medium
322,200,Security Breach,2023-08-12,2023-08-12 04:33:00,Medium
323,116,Downtime,2023-02-28,2023-02-28 05:53:00,High
324,177,Security Breach,2023-11-17,2023-11-17 09:38:00,High
325,266,Downtime,2023-09-11,2023-09-11 07:20:00,Medium
326,133,Security Breach,2023-12-08,2023-12-08 07:10:00,High
327,212,Security Breach,2023-06-29,2023-06-29 09:21:00,Low
328,143,Downtime,2023-06-08,2023-06-08 02:02:00,High
329,293,Downtime,2023-09-13,2023-09-13 09:59:00,Medium
330,52,Security Breach,2023-08-21,2023-08-21 00:44:00,High
331,204,Security Breach,2023-11-14,2023-11-14 06:42:00,High
332,135,Security Breach,2023-08-29,2023-08-29 06:53:00,High
333,193,Downtime,2023-12-13,2023-12-13 00:36:00,Low
334,292,Security Breach,2023-02-16,2023-02-16 02:24:00,Medium
335,70,Downtime,2023-07-26,2023-07-26 07:46:00,High
336,363,Downtime,2023-09-22,2023-09-22 07:58:00,High
337,143,Downtime,2023-12-20,2023-12-20 07:30:00,Low
338,232,Security Breach,2023-03-03,2023-03-03 02:15:00,Low
339,302,Downtime,2023-02-09,2023-02-09 02:33:00,Medium
340,193,Downtime,2023-12-01,2023-12-01 07:45:00,Medium
341,112,Downtime,2023-12-07,2023-12-07 03:57:00,Medium
342,480,Security Breach,2023-07-27,2023-07-27 04:27:00,High
343,247,Security Breach,2023-09-26,2023-09-26 03:09:00,Medium
344,339,Security Breach,2023-03-18,2023-03-18 08:24:00,Low
345,353,Downtime,2023-06-14,2023-06-14 08:37:00,Medium
346,371,Downtime,2023-10-21,2023-10-21 08:53:00,High
347,174,Security Breach,2023-05-24,2023-05-24 03:26:00,Medium
348,369,Security Breach,2023-06-22,2023-06-22 09:11:00,Medium
349,241,Downtime,2023-06-09,2023-06-09 06:13:00,High
350,383,Downtime,2023-11-03,2023-11-03 00:51:00,High
351,161,Security Breach,2023-08-18,2023-08-18 09:48:00,Medium
352,149,Security Breach,2023-04-19,2023-04-19 07:11:00,High
353,86,Security Breach,2023-09-23,2023-09-23 08:22:00,Low
354,160,Downtime,2023-02-09,2023-02-09 01:07:00,High
355,365,Security Breach,2023-05-08,2023-05-08 06:43:00,High
356,86,Security Breach,2023-01-23,2023-01-23 07:28:00,Low
357,397,Downtime,2023-09-21,2023-09-21 09:17:00,Low
358,327,Security Breach,2023-01-24,2023-01-24 04:58:00,Medium
359,348,Security Breach,2023-02-20,2023-02-20 01:04:00,High
360,151,Security Breach,2023-12-11,2023-12-11 09:20:00,Medium
361,201,Security Breach,2023-08-04,2023-08-04 00:55:00,Low
362,408,Security Breach,2023-12-18,2023-12-18 06:39:00,Medium
363,400,Security Breach,2023-08-28,2023-08-28 03:17:00,Low
364,30,Downtime,2023-10-11,2023-10-11 01:47:00,Medium
365,231,Security Breach,2023-10-11,2023-10-11 08:03:00,High
366,408,Downtime,2023-01-14,2023-01-14 01:40:00,Medium
367,458,Security Breach,2023-01-10,2023-01-10 00:59:00,Medium
368,405,Security Breach,2023-04-25,2023-04-25 03:50:00,Medium
369,34,Downtime,2023-01-15,2023-01-15 02:38:00,High
370,333,Security Breach,2023-07-05,2023-07-05 00:32:00,Low
371,312,Downtime,2023-11-01,2023-11-01 03:36:00,High
372,437,Security Breach,2023-07-10,2023-07-10 07:21:00,Low
373,118,Security Breach,2023-08-12,2023-08-12 00:29:00,Medium
374,235,Downtime,2023-04-07,2023-04-07 00:45:00,Low
375,348,Security Breach,2023-04-22,2023-04-22 05:50:00,High
376,336,Security Breach,2023-02-06,2023-02-06 06:10:00,High
377,342,Downtime,2023-09-26,2023-09-26 02:07:00,Low
378,380,Security Breach,2023-09-15,2023-09-15 05:29:00,Low
379,164,Downtime,2023-01-31,2023-01-31 07:36:00,Low
380,208,Downtime,2023-12-19,2023-12-19 02:16:00,Low
381,202,Downtime,2023-10-01,2023-10-01 01:36:00,Medium
382,374,Downtime,2023-03-06,2023-03-06 03:10:00,High
383,439,Security Breach,2023-02-21,2023-02-21 09:52:00,Low
384,187,Downtime,2023-03-26,2023-03-26 09:29:00,Medium
385,251,Downtime,2023-08-02,2023-08-02 06:21:00,Medium
386,145,Security Breach,2023-10-27,2023-10-27 04:09:00,Low
387,292,Security Breach,2023-09-15,2023-09-15 01:55:00,Low
388,486,Security Breach,2023-01-12,2023-01-12 08:58:00,High
389,484,Security Breach,2023-01-20,2023-01-20 00:40:00,Low
390,88,Downtime,2023-05-29,2023-05-29 02:42:00,Medium
391,52,Security Breach,2023-11-08,2023-11-08 04:31:00,Low
392,257,Security Breach,2023-08-07,2023-08-07 02:24:00,Medium
393,112,Downtime,2023-01-11,2023-01-11 07:32:00,Medium
394,406,Downtime,2023-03-13,2023-03-13 03:25:00,High
395,379,Downtime,2023-01-11,2023-01-11 04:24:00,Medium
396,272,Security Breach,2023-05-05,2023-05-05 00:39:00,Low
397,112,Security Breach,2023-03-27,2023-03-27 06:04:00,Medium
398,40,Security Breach,2023-10-10,2023-10-10 09:38:00,Medium
399,312,Security Breach,2023-05-27,2023-05-27 07:58:00,Medium
400,334,Downtime,2023-02-18,2023-02-18 04:16:00,Low
401,110,Downtime,2023-03-12,2023-03-12 04:59:00,Medium
402,133,Security Breach,2023-07-26,2023-07-26 06:53:00,Medium
403,32,Downtime,2023-09-16,2023-09-16 09:10:00,Medium
404,417,Downtime,2023-01-21,2023-01-21 09:22:00,Medium
405,284,Security Breach,2023-08-14,2023-08-14 05:48:00,High
406,209,Downtime,2023-03-09,2023-03-09 05:07:00,Low
407,278,Downtime,2023-07-11,2023-07-11 02:21:00,High
408,196,Security Breach,2023-10-31,2023-10-31 02:16:00,Low
409,129,Security Breach,2023-02-10,2023-02-10 09:21:00,Medium
410,204,Downtime,2023-08-25,2023-08-25 08:16:00,Low
411,250,Security Breach,2023-12-12,2023-12-12 09:56:00,Low
412,89,Downtime,2023-04-15,2023-04-15 09:07:00,Low
413,479,Downtime,2023-08-18,2023-08-18 09:09:00,Medium
414,203,Security Breach,2023-06-29,2023-06-29 05:38:00,High
415,441,Downtime,2023-12-11,2023-12-11 08:42:00,Medium
416,461,Security Breach,2023-10-04,2023-10-04 08:04:00,Medium
417,205,Security Breach,2023-01-22,2023-01-22 02:16:00,High
418,470,Downtime,2023-12-17,2023-12-17 01:21:00,High
419,122,Security Breach,2023-09-10,2023-09-10 04:25:00,High
420,185,Downtime,2023-02-01,2023-02-01 02:37:00,Low
421,346,Security Breach,2023-08-29,2023-08-29 04:37:00,Medium
422,11,Security Breach,2023-07-31,2023-07-31 03:48:00,High
423,494,Security Breach,2023-09-22,2023-09-22 08:05:00,Low
424,226,Downtime,2023-05-18,2023-05-18 03:42:00,Medium
425,39,Security Breach,2023-03-17,2023-03-17 00:30:00,High
426,230,Security Breach,2023-10-30,2023-10-30 06:06:00,High
427,446,Downtime,2023-03-09,2023-03-09 04:06:00,High
428,425,Downtime,2023-03-25,2023-03-25 04:48:00,Medium
429,35,Security Breach,2023-08-31,2023-08-31 09:08:00,Medium
